constructor,spearman_corr,p_value
Lotus-Pratt &amp; Whitney,1.0,0.0
Pankratz,0.9999999999999999,
Marchese,0.9999999999999999,
Shadow-Matra,0.9999999999999999,
Behra-Porsche,0.9999999999999999,
Kojima,0.8660254037844387,0.3333333333333332
Cooper,0.6182782615058261,3.4383895126415904e-12
Mercedes,0.5680664978394127,6.056315423843123e-55
Lesovsky,0.5663082437275986,0.027745756533156574
RB F1 Team,0.5645698383384167,0.004052230798949562
Brawn,0.5383763041293215,0.0010216146644109348
Red Bull,0.5343890664615972,1.2297115391885216e-57
MF1,0.5154111265914655,0.0050010707078386235
BMW Sauber,0.5129030037390001,9.232321755204033e-11
Dunn,0.5,0.6666666666666667
Ewing,0.5,0.6666666666666667
De Tomaso-Osca,0.5,0.6666666666666667
De Tomaso-Alfa Romeo,0.5,0.6666666666666667
March-Ford,0.49497517766665394,0.0007399187733820656
Force India,0.48902277027940894,7.10242011646319e-27
Racing Point,0.4557601912873314,3.516151660048524e-05
Veritas,0.4544986918351159,0.05810685164973547
Alta,0.4411764705882353,0.3811698554854467
Honda,0.4348019961802965,2.176814837296207e-08
Aston Martin,0.41938109484984437,1.6892080151910352e-08
Deidt,0.4191691916696407,0.3012666326633443
Williams,0.4015204096051642,4.99233373854233e-65
Lotus F1,0.3930063334122896,4.6138243480291027e-07
Alpine F1 Team,0.36974649285545585,2.029759959290713e-06
McLaren,0.36893037852193084,2.663674431321738e-62
Ferrari,0.3675808466310615,3.8368615497446003e-78
Super Aguri,0.3541691969404209,0.0014665271199543943
AlphaTauri,0.3455240660797874,5.131274990891375e-06
Haas F1 Team,0.34551605162289234,2.0302147232937617e-11
Renault,0.3436396687022601,3.116047908202758e-23
AFM,0.34235623582431246,0.45225122159090575
Simca,0.33362364734948946,0.07695057735609881
Frazer Nash,0.316227766016838,0.683772233983162
Kuzma,0.3033948207220514,0.06043840990961273
Matra-Ford,0.29813571254342025,0.06168847587986447
Toyota,0.28547710506246465,1.191621718870923e-06
Watson,0.2784425368763596,0.20956179717524706
BAR,0.26453697859727954,3.857093536491412e-05
Talbot-Lago,0.261346887456122,0.017709225476607887
Stewart,0.26070491800073536,0.009521646517958601
Vanwall,0.2603103717775408,0.028348556819521236
Brabham-Repco,0.2413337659315635,0.03447952114991026
Benetton,0.23572667404160444,5.3491667556109645e-08
Eagle-Weslake,0.22412734472805212,0.32872264879003876
Alfa Romeo,0.22117939091594063,2.106112915568534e-06
Jordan,0.2142587101911639,1.3298303605320466e-06
Prost,0.20882354999816416,0.007108098655008301
Brabham-Climax,0.20380250418917856,0.050061757684529626
Sauber,0.20242091204516804,5.774399255514551e-09
McLaren-BRM,0.2013279263454771,0.49007674409067936
Cooper-BRM,0.199738999588874,0.38535773887748537
Kurtis Kraft,0.1993435115539129,0.002608650388505984
Toro Rosso,0.1960288346997107,4.8255020234633796e-06
BRM,0.1766372591274836,2.5391358283631595e-05
Lotus-Ford,0.16521739016398557,0.06236184614745921
Jaguar,0.16259209680211376,0.03413968516946772
Manor Marussia,0.15518359077250432,0.17489202834281742
Tyrrell,0.15383148560049278,4.500551940855747e-06
Team Lotus,0.14872265063660584,1.046005590076585e-05
Maserati,0.14504382547226458,0.0023975583663476438
Trevis,0.14285714285714288,0.7871720116618075
Cooper-Maserati,0.14273397761937137,0.09992427149849685
Tecno,0.13990825688073394,0.681594561010016
Penske,0.13458030385606878,0.37254606971856896
Matra,0.1267241326511762,0.2922970660949186
Marussia,0.12515152646020186,0.19474783083381186
McLaren-Ford,0.10561242471774906,0.33027244664000543
Gordini,0.10169011420660087,0.3091527345835922
Epperly,0.09562015141758323,0.7150665372745224
Ligier,0.08869914790401359,0.028355314205777048
Brabham-BRM,0.05872823056224337,0.7153130120302165
Connaught,0.051156478847485205,0.7133457538103202
Cooper-Climax,0.04389594801765125,0.47424225297265643
Brabham-Alfa Romeo,0.03860943572634484,0.7715656031794116
HWM,0.03674040688437225,0.806317260375218
Caterham,0.03594400292499516,0.7067312324995952
BRP,0.01727198303213285,0.9440500273368526
Brabham,0.01505689556611592,0.6989827011344942
LDS,0.0,1.0
Brabham-Ford,-0.005836038609772426,0.9653198946062744
Lotus,-0.007110291293872888,0.9513914425774024
Virgin,-0.02045381616908259,0.8607847167739195
Forti,-0.04476482490881652,0.7478944036353077
Minardi,-0.04668372805722529,0.2268217350799066
Spyker,-0.05039094418276284,0.7771641525407469
Phillips,-0.054056247761733546,0.9083652825239955
JBW,-0.05797710356524484,0.9131317851623264
HRT,-0.06071298606010996,0.5173633965027775
Leyton House,-0.06883717269399783,0.5888623352564457
Arrows,-0.08475713023540142,0.03958225929045068
Scarab,-0.08485187356062977,0.8281749551968417
Wolf,-0.09876325776478334,0.38651486876244545
Embassy Hill,-0.10456359023672479,0.6701000646479607
Lotus-Climax,-0.10941028287062934,0.09569369191807629
Dallara,-0.12064517232547303,0.14975676374316232
Lancia,-0.12672811059907832,0.7104124589598255
Cooper-Castellotti,-0.14285714285714288,0.7871720116618075
Simtek,-0.1515849002834517,0.3504496351541121
Larrousse,-0.16913177606961943,0.01280109862713194
Lola,-0.1917433470457802,0.013617418284583002
Footwork,-0.20119618887958307,0.0049073612053773495
Iso Marlboro,-0.2307009675548078,0.09015714995207515
Shadow,-0.23443772630086165,0.0005966208115784988
Spirit,-0.23466603247190557,0.2588488195752827
Surtees,-0.23773804317217137,0.00010857737336051027
March,-0.26255673261272544,1.0393804755742312e-09
Stevens,-0.27300613496932513,0.44535469437991915
Porsche,-0.279079102473684,0.010147226790320277
Lotus-BRM,-0.30080379100919863,0.0008008797903301349
Parnelli,-0.34776739176637406,0.1868739766811959
ERA,-0.35907489070418597,0.22823475512936864
BMW,-0.3714285714285715,0.46847813411078715
Trojan,-0.3757644769132694,0.3589541630206396
Hesketh,-0.39980375766072546,4.9681288193699605e-05
Fittipaldi,-0.40482935849193413,1.7442314931959854e-07
Spyker MF1,-0.43031093323938924,0.2872337223819768
Andrea Moda,-0.4559833243433447,0.087582781605196
Bromme,-0.45883146774112354,0.4369976208884008
Eagle-Climax,-0.4624027188849678,0.11161691477840736
Emeryson,-0.4643427731069257,0.15019750704710827
Shadow-Ford,-0.48624957029907184,0.01177881780630888
McLaren-Alfa Romeo,-0.49202665203659945,0.12421572541758331
Cooper-Borgward,-0.5,0.6666666666666667
ATS,-0.5214147145694327,1.1263315888699284e-12
Toleman,-0.5305024563538804,7.16419888867127e-11
De Tomaso,-0.5352048671640788,0.04858714014603127
March-Alfa Romeo,-0.5432202260593063,0.10463544318410764
Theodore,-0.5493979897975271,2.5836288914861817e-06
